Date,P,Blue,Red,Winner,Bans,Bans,Picks,Picks,Blue Roster,Red Roster,Len,BG,BK,BT,BD,BB,BRH,RG,RK,RT,RD,RB,RRH,SB,VOD
2022-01-22 ,12.1,LOUD,FURIA Esports,LOUD,"Gwen,Diana,Jinx,Vex,Tryndamere","Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn","Renekton,Viego,Corki,Aphelios,Nautilus","Akali,Xin Zhao,Orianna,Jhin,Leona","Robo,Tay,tinowns,DudsTheBoy,Ceos","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert",38:40,71210,19,9,3,1,1,64612,17,3,2,1,1,SB,https://youtu.be/cWglpamyZvA
2022-01-22 ,12.1,Netshoes Miners,Flamengo Esports,Netshoes Miners,"Jinx,Twisted Fate,Caitlyn,Viktor,Syndra","Nidalee,Corki,Diana,Lee Sin,Jayce","Tryndamere,Viego,Vex,Kai'Sa,Leona","Gwen,Xin Zhao,Orianna,Jhin,Maokai","DoRun,Croc,Anyyy,Drop (Matheus Herdy),Hawk (Gabriel Gomes)","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Bounty (Gabriel Donner)",35:52,72544,21,10,3,2,2,59163,7,2,1,0,0,SB,https://youtu.be/BPEtUDsoDbU
2022-01-22 ,12.1,INTZ,KaBuM! e-Sports,INTZ,null,null,null,null,null,null,30:23,59700,30,8,4,null,null,53200,15,4,1,null,null,SB,https://www.youtube.com/watch?v=MZmSIkUUihU
2022-01-22 ,12.1,Rensga Esports,RED Canids,RED Canids,"Lee Sin,Leona,Twisted Fate,Nautilus,Rakan","Thresh,Caitlyn,Jinx,Braum,Karma","Gragas,Viego,Corki,Ezreal,Yuumi","Gwen,Xin Zhao,Akali,Samira,Rell","Ayel,Minerva,Goku,Hades (Park Ji-seong),Guard","Guigo,Aegis (Gabriel Lemos),Grevthar,TitaN,Jojo (Gabriel Dzelme)",38:56,71641,14,6,2,1,0,71408,17,8,4,1,2,SB,https://youtu.be/ATqtcuTkoqw
2022-01-23 ,12.1,Rensga Esports,Liberty,Rensga Esports,null,null,null,null,null,null,25:15,51700,17,9,2,null,null,41800,11,1,2,null,null,SB,https://www.youtube.com/watch?v=nEE-9JLPx7I
2022-01-23 ,12.1,RED Canids,LOUD,RED Canids,"Thresh,Viktor,Corki,Zoe,Jax","Gwen,Lee Sin,Diana,Camille,Jarvan IV","Ornn,Talon,Twisted Fate,Jinx,Leona","Aatrox,Xin Zhao,Syndra,Caitlyn,Lux","Guigo,Aegis (Gabriel Lemos),Grevthar,TitaN,Jojo (Gabriel Dzelme)","Robo,Tay,tinowns,DudsTheBoy,Ceos",39:11,71939,20,7,2,1,1,65014,13,6,3,0,1,SB,https://youtu.be/uf4ZxCHulwk
2022-01-23 ,12.1,INTZ,Netshoes Miners,Netshoes Miners,"Kai'Sa,Ezreal,Tryndamere,Jayce,Xin Zhao","Twisted Fate,Jinx,Caitlyn,Gwen,Renekton","Jax,Lee Sin,Corki,Aphelios,Nautilus","Camille,Poppy,Kassadin,Jhin,Leona","Tyrin (William Portugal),Yampi,Kick (João Rosas),micaO,Decoy","DoRun,Croc,Anyyy,Drop (Matheus Herdy),Hawk (Gabriel Gomes)",45:48,81381,15,11,2,2,1,82072,21,9,4,1,1,SB,https://youtu.be/yAOXnsrW6Wc
2022-01-23 ,12.1,Flamengo Esports,FURIA Esports,FURIA Esports,"Renekton,Tryndamere,Sylas,Lux,Thresh","Lee Sin,Corki,Twisted Fate,Jayce,Nautilus","Akali,Jarvan IV,Viktor,Jhin,Leona","Gwen,Xin Zhao,Vex,Caitlyn,Morgana","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Bounty (Gabriel Donner)","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert",33:41,57061,11,3,2,1,2,63007,20,8,3,1,0,SB,https://youtu.be/SLt6IxTR1Co
2022-01-27 ,12.1,paiN Gaming,Liberty,paiN Gaming,null,null,null,null,null,null,25:40,53600,20,11,3,null,null,39000,5,2,0,null,null,SB,https://www.youtube.com/watch?v=09n87cwURrs&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=115
2022-01-27 ,12.1,paiN Gaming,KaBuM! e-Sports,KaBuM! e-Sports,"Caitlyn,Jayce,Viktor,Zoe,Syndra","Renekton,Corki,Twisted Fate,Jhin,Ziggs","Gwen,Xin Zhao,Azir,Varus,Leona","Kennen,Lee Sin,Vex,Aphelios,Thresh","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage","Parang,Wiz,Hauz,Disave,Scuro",31:29,50724,8,3,0,0,1,60342,22,7,5,1,1,SB,https://www.youtube.com/watch?v=5B_WTZmNmlU
